Telemetry(timestamp='27.05.2023 11:27:17.534865', value='1011044.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:17.719789', value='4063.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:18.318566', value='10.160428', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:18.321690', value='94.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:18.277902', value='3798.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:18.530560', value='1008792.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:18.531052', value='4.945055', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:18.536045', value='94.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:18.768301', value='3862.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:19.309191', value='11.111111', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:19.321673', value='93.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:19.177666', value='3821.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:19.530962', value='4.918033', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:19.530988', value='1008900.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:19.532008', value='92.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:19.683936', value='3778.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:20.313265', value='15.508021', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:20.325733', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:20.110936', value='3789.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:20.529936', value='0.070000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:20.529939', value='0.140000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:20.530079', value='1009816.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:20.530165', value='2.659574', node='ubuntu', metric='cpu', subsystem=None)
